iter	Passed	Remaining
840	5337	1009
841	5344	1002
842	5350	996
843	5357	990
844	5363	983
845	5369	977
846	5376	971
847	5382	964
848	5388	958
849	5394	952
850	5399	945
851	5406	939
852	5411	932
853	5417	926
854	5423	919
855	5431	913
856	5436	907
857	5443	900
858	5449	894
859	5456	888
860	5462	881
861	5468	875
862	5475	869
863	5481	862
864	5487	856
865	5494	850
866	5499	843
867	5505	837
868	5512	830
869	5518	824
870	5524	818
871	5530	811
872	5536	805
873	5542	798
874	5548	792
875	5554	786
876	5560	779
877	5566	773
878	5572	767
879	5578	760
880	5583	754
881	5589	747
882	5595	741
883	5601	735
884	5607	728
885	5614	722
886	5620	716
887	5626	709
888	5632	703
889	5638	696
890	5644	690
891	5650	684
892	5657	677
893	5663	671
894	5669	665
895	5675	658
896	5681	652
897	5687	646
898	5693	639
899	5700	633
900	5706	626
901	5713	620
902	5720	614
903	5726	608
904	5733	601
905	5740	595
906	5747	589
907	5751	582
908	5758	576
909	5764	570
910	5771	563
911	5777	557
912	5783	551
913	5789	544
914	5795	538
915	5802	532
916	5808	525
917	5815	519
918	5822	513
919	5829	506
920	5836	500
921	5841	494
922	5847	487
923	5853	481
924	5858	475
925	5866	468
926	5873	462
927	5879	456
928	5885	449
929	5891	443
930	5897	437
931	5904	430
932	5910	424
933	5916	418
934	5922	411
935	5928	405
936	5934	399
937	5941	392
938	5947	386
939	5954	380
940	5960	373
941	5966	367
942	5972	361
943	5979	354
944	5984	348
945	5991	341
946	5997	335
947	6004	329
948	6010	323
949	6017	316
950	6023	310
951	6030	304
952	6036	297
953	6041	291
954	6048	284
955	6054	278
956	6061	272
957	6067	266
958	6073	259
959	6079	253
960	6086	247
961	6092	240
962	6099	234
963	6106	228
964	6112	221
965	6119	215
966	6125	209
967	6131	202
968	6138	196
969	6144	190
970	6150	183
971	6156	177
972	6163	171
973	6169	164
974	6175	158
975	6182	152
976	6188	145
977	6194	139
978	6200	133
979	6208	126
980	6215	120
981	6223	114
982	6229	107
983	6236	101
984	6242	95
985	6249	88
986	6256	82
987	6263	76
988	6269	69
989	6277	63
990	6284	57
991	6290	50
992	6297	44
993	6304	38
994	6311	31
995	6318	25
996	6325	19
997	6331	12
998	6338	6
999	6345	0
